t+,class,V_L1,V_L2,V_L3,V_L12,V_L23,V_L31,A_L1,A_L2,A_L3,VA_L1,VA_L2,VA_L3,W_L1,W_L2,W_L3,Q_L1,Q_L2,Q_L3,PF_L1,PF_L2,PF_L3,THD_L1,THD_L2,THD_L3
0.000,0,103.23540496826172,128.6229248046875,118.95944213867188,202.46963500976562,202.39013671875,200.6172637939453,0.4344801604747772,0.4633924067020416,0.4852152466773987,44.853736877441406,59.60288619995117,57.7209358215332,-43.40044403076172,-55.39905548095703,-56.79865264892578,7.102414131164551,18.68915557861328,2.0823657512664795,0.9675992727279663,0.9294693470001221,0.9840216636657715,5.736105918884277,5.532071590423584,4.552773952484131,nan
0.050,0,103.23540496826172,128.6229248046875,118.95944213867188,202.46963500976562,202.39013671875,200.6172637939453,0.4344801604747772,0.4633924067020416,0.4852152466773987,44.853736877441406,59.60288619995117,57.7209358215332,-43.40044403076172,-55.39905548095703,-56.79865264892578,7.102414131164551,18.68915557861328,2.0823657512664795,0.9675992727279663,0.9294693470001221,0.9840216636657715,5.736105918884277,5.532071590423584,4.552773952484131,nan
0.100,0,103.23540496826172,128.6229248046875,118.95944213867188,202.46963500976562,202.39013671875,200.6172637939453,0.4344801604747772,0.4633924067020416,0.4852152466773987,44.853736877441406,59.60288619995117,57.7209358215332,-43.40044403076172,-55.39905548095703,-56.79865264892578,7.102414131164551,18.68915557861328,2.0823657512664795,0.9675992727279663,0.9294693470001221,0.9840216636657715,5.736105918884277,5.532071590423584,4.552773952484131,nan
0.150,0,103.1604995727539,128.47201538085938,118.87637329101562,202.24664306640625,202.2161102294922,200.48416137695312,0.422956258058548,0.4491335451602936,0.4764801263809204,43.63237762451172,57.70109176635742,56.64223098754883,-42.19032669067383,-53.35396957397461,-55.75010299682617,6.871702671051025,18.917104721069336,2.690545082092285,0.966949999332428,0.9246613383293152,0.9842497706413269,5.701566696166992,5.522705078125,4.529148578643799,nan
0.200,0,103.1604995727539,128.47201538085938,118.87637329101562,202.24664306640625,202.2161102294922,200.48416137695312,0.422956258058548,0.4491335451602936,0.4764801263809204,43.63237762451172,57.70109176635742,56.64223098754883,-42.19032669067383,-53.35396957397461,-55.75010299682617,6.871702671051025,18.917104721069336,2.690545082092285,0.966949999332428,0.9246613383293152,0.9842497706413269,5.701566696166992,5.522705078125,4.529148578643799,nan
0.250,0,103.1604995727539,128.47201538085938,118.87637329101562,202.24664306640625,202.2161102294922,200.48416137695312,0.422956258058548,0.4491335451602936,0.4764801263809204,43.63237762451172,57.70109176635742,56.64223098754883,-42.19032669067383,-53.35396957397461,-55.75010299682617,6.871702671051025,18.917104721069336,2.690545082092285,0.966949999332428,0.9246613383293152,0.9842497706413269,5.701566696166992,5.522705078125,4.529148578643799,nan
0.300,0,103.1604995727539,128.47201538085938,118.87637329101562,202.24664306640625,202.2161102294922,200.48416137695312,0.422956258058548,0.4491335451602936,0.4764801263809204,43.63237762451172,57.70109176635742,56.64223098754883,-42.19032669067383,-53.35396957397461,-55.75010299682617,6.871702671051025,18.917104721069336,2.690545082092285,0.966949999332428,0.9246613383293152,0.9842497706413269,5.701566696166992,5.522705078125,4.529148578643799,nan
0.350,0,103.21012878417969,128.59188842773438,118.94548797607422,202.39321899414062,202.3339080810547,200.61672973632812,0.43541058897972107,0.4619108736515045,0.48676562309265137,44.93878173828125,59.39799118041992,57.89857482910156,-43.52989959716797,-55.187313079833984,-57.01199722290039,7.09199333190918,18.853179931640625,2.4137144088745117,0.9686488509178162,0.9291107654571533,0.9846873879432678,5.6795573234558105,5.522104740142822,4.507762432098389,nan
0.400,0,103.21012878417969,128.59188842773438,118.94548797607422,202.39321899414062,202.3339080810547,200.61672973632812,0.43541058897972107,0.4619108736515045,0.48676562309265137,44.93878173828125,59.39799118041992,57.89857482910156,-43.52989959716797,-55.187313079833984,-57.01199722290039,7.09199333190918,18.853179931640625,2.4137144088745117,0.9686488509178162,0.9291107654571533,0.9846873879432678,5.6795573234558105,5.522104740142822,4.507762432098389,nan
0.450,0,103.21012878417969,128.59188842773438,118.94548797607422,202.39321899414062,202.3339080810547,200.61672973632812,0.43541058897972107,0.4619108736515045,0.48676562309265137,44.93878173828125,59.39799118041992,57.89857482910156,-43.52989959716797,-55.187313079833984,-57.01199722290039,7.09199333190918,18.853179931640625,2.4137144088745117,0.9686488509178162,0.9291107654571533,0.9846873879432678,5.6795573234558105,5.522104740142822,4.507762432098389,nan
