V_L1,V_L2,V_L3,V_L12,V_L23,V_L31,A_L1,A_L2,A_L3,VA_L1,VA_L2,VA_L3,W_L1,W_L2,W_L3,Q_L1,Q_L2,Q_L3,PF_L1,PF_L2,PF_L3,THD_L1,THD_L2,THD_L3
130.3217926,155.9279785,146.1390228,250.644989,249.0504456,247.3995972,0.423373878,0.345997274,0.30564642,55.17484283,53.95065689,44.66687012,16.43415451,7.143122196,15.60704041,45.75522614,47.64759827,39.25450897,0.297855943,0.132401019,0.349409759,5.875168324,5.47056675,4.718468666
130.3217926,155.9279785,146.1390228,250.644989,249.0504456,247.3995972,0.423373878,0.345997274,0.30564642,55.17484283,53.95065689,44.66687012,16.43415451,7.143122196,15.60704041,45.75522614,47.64759827,39.25450897,0.297855943,0.132401019,0.349409759,5.875168324,5.47056675,4.718468666
130.3217926,155.9279785,146.1390228,250.644989,249.0504456,247.3995972,0.423373878,0.345997274,0.30564642,55.17484283,53.95065689,44.66687012,16.43415451,7.143122196,15.60704041,45.75522614,47.64759827,39.25450897,0.297855943,0.132401019,0.349409759,5.875168324,5.47056675,4.718468666
130.3217926,155.9279785,146.1390228,250.644989,249.0504456,247.3995972,0.423373878,0.345997274,0.30564642,55.17484283,53.95065689,44.66687012,16.43415451,7.143122196,15.60704041,45.75522614,47.64759827,39.25450897,0.297855943,0.132401019,0.349409759,5.875168324,5.47056675,4.718468666
130.3217926,155.9279785,146.1390228,250.644989,249.0504456,247.3995972,0.423373878,0.345997274,0.30564642,55.17484283,53.95065689,44.66687012,16.43415451,7.143122196,15.60704041,45.75522614,47.64759827,39.25450897,0.297855943,0.132401019,0.349409759,5.875168324,5.47056675,4.718468666
130.3217926,155.9279785,146.1390228,250.644989,249.0504456,247.3995972,0.423373878,0.345997274,0.30564642,55.17484283,53.95065689,44.66687012,16.43415451,7.143122196,15.60704041,45.75522614,47.64759827,39.25450897,0.297855943,0.132401019,0.349409759,5.875168324,5.47056675,4.718468666
130.3217926,155.9279785,146.1390228,250.644989,249.0504456,247.3995972,0.423373878,0.345997274,0.30564642,55.17484283,53.95065689,44.66687012,16.43415451,7.143122196,15.60704041,45.75522614,47.64759827,39.25450897,0.297855943,0.132401019,0.349409759,5.875168324,5.47056675,4.718468666
130.3217926,155.9279785,146.1390228,250.644989,249.0504456,247.3995972,0.423373878,0.345997274,0.30564642,55.17484283,53.95065689,44.66687012,16.43415451,7.143122196,15.60704041,45.75522614,47.64759827,39.25450897,0.297855943,0.132401019,0.349409759,5.875168324,5.47056675,4.718468666
130.3217926,155.9279785,146.1390228,250.644989,249.0504456,247.3995972,0.423373878,0.345997274,0.30564642,55.17484283,53.95065689,44.66687012,16.43415451,7.143122196,15.60704041,45.75522614,47.64759827,39.25450897,0.297855943,0.132401019,0.349409759,5.875168324,5.47056675,4.718468666
130.3217926,155.9279785,146.1390228,250.644989,249.0504456,247.3995972,0.423373878,0.345997274,0.30564642,55.17484283,53.95065689,44.66687012,16.43415451,7.143122196,15.60704041,45.75522614,47.64759827,39.25450897,0.297855943,0.132401019,0.349409759,5.875168324,5.47056675,4.718468666
130.4233704,155.9809723,146.1092377,250.8598938,248.9004211,247.5202789,0.420954436,0.333513409,0.322110564,54.90229797,52.02174759,47.06332779,14.96338367,8.514692307,15.96226311,46.01531601,46.69038391,41.44404221,0.272545666,0.163675636,0.339165628,5.887473583,5.381353378,4.697220325
130.4233704,155.9809723,146.1092377,250.8598938,248.9004211,247.5202789,0.420954436,0.333513409,0.322110564,54.90229797,52.02174759,47.06332779,14.96338367,8.514692307,15.96226311,46.01531601,46.69038391,41.44404221,0.272545666,0.163675636,0.339165628,5.887473583,5.381353378,4.697220325
130.4233704,155.9809723,146.1092377,250.8598938,248.9004211,247.5202789,0.420954436,0.333513409,0.322110564,54.90229797,52.02174759,47.06332779,14.96338367,8.514692307,15.96226311,46.01531601,46.69038391,41.44404221,0.272545666,0.163675636,0.339165628,5.887473583,5.381353378,4.697220325
130.4233704,155.9809723,146.1092377,250.8598938,248.9004211,247.5202789,0.420954436,0.333513409,0.322110564,54.90229797,52.02174759,47.06332779,14.96338367,8.514692307,15.96226311,46.01531601,46.69038391,41.44404221,0.272545666,0.163675636,0.339165628,5.887473583,5.381353378,4.697220325
