predicted_class,class,V_L1,V_L2,V_L3,V_L12,V_L23,V_L31,PF_L1,PF_L2,PF_L3,THD_L1,THD_L2,THD_L3
3,4,0.897897892115568,0.9378028893635592,0.9136740789443027,0.9163554658195422,0.9119662732252356,0.9190529264266448,0.0365671403706073,0.052846812,0.1904416233301162,5.380232334136963,5.336560249328613,4.374285697937012
0,2,0.9667215046457897,1.0024699309809535,0.9939725084824624,0.9841335407824132,0.9991410777880272,0.983169009785811,0.130623564,0.348775297,0.650342047,5.480957985,5.190854073,4.356778622
1,2,0.8665462188837251,0.9834377587719744,1.0006918297588472,0.916595712999806,1.0200028525361151,0.9362357401266854,0.528795242,0.268003911,0.737960815,6.427738667,5.290452003,5.039540768
2,0,0.9737757560055532,0.9938073846042031,1.0022264434106525,0.9794787804112788,1.001652919344231,0.9911627772216024,0.134168804,0.284686148,0.738642752,6.035952091,5.447908878,4.69871521
2,0,0.9737757560055532,0.9938073846042031,1.0022264434106525,0.9794787804112788,1.001652919344231,0.9911627772216024,0.134168804,0.284686148,0.738642752,6.035952091,5.447908878,4.69871521
1,0,0.9805055190413992,1.031303640106677,1.0404757945973755,1.0027515507418598,1.0013551169492187,1.0033297794107168,0.354667008,0.203544751,0.401640624,12.19158554,13.63649368,11.13234329
0,2,1.0001085710992534,0.9998620988212552,1.0000722734576906,0.9999217489654928,1.0001550267311037,0.9999917115014332,0.961261868,0.929199457,0.97903502,5.712780952,5.584303856,4.623310566
3,4,0.8971761939586939,0.9384914532130572,0.9128125434448158,0.9161002767298516,0.912063301636132,0.9184734427793554,0.040332738,0.05702294,0.1888098865747451,5.4293670654296875,5.389038562774658,4.4069929122924805
3,4,0.8971761939586939,0.9384914532130572,0.9128125434448158,0.9161002767298516,0.912063301636132,0.9184734427793554,0.040332738,0.05702294,0.1888098865747451,5.4293670654296875,5.389038562774658,4.4069929122924805
1,2,0.8599074471289149,0.98942108057055,1.0027374981235602,0.9174108082219838,1.0279796273527997,0.931796482755098,0.548689902,0.306293517,0.805245042,6.211092472,5.271697044,5.009392738
1,2,0.8665462188837251,0.9834377587719744,1.0006918297588472,0.916595712999806,1.0200028525361151,0.9362357401266854,0.528795242,0.268003911,0.737960815,6.427738667,5.290452003,5.039540768
1,2,0.8662736336566534,0.9829671844567788,1.0005655690613464,0.9160716316523988,1.0201016664134137,0.935860578098205,0.530065298,0.268893749,0.734462798,6.475821018,5.350748062,5.146970272
0,2,1.0001398224691818,0.9969995604331232,1.000374091262769,0.9978194076404576,0.9976614839004933,1.0013894153557832,0.9693177938461304,0.9201982021331788,0.9821281433105468,5.0233306884765625,4.879874229431152,3.964320182800293
0,1,0.9992678044257958,0.998980556539306,0.9986536375480024,0.9989848850994196,0.9986685385701406,0.9991252556479296,0.807338119,0.778865576,0.850530505,5.805848122,5.47409153,4.5992136
1,2,0.8665462188837251,0.9834377587719744,1.0006918297588472,0.916595712999806,1.0200028525361151,0.9362357401266854,0.528795242,0.268003911,0.737960815,6.427738667,5.290452003,5.039540768
1,0,0.9959400653228972,1.0051110298173913,1.0003502265865123,1.000348112480968,1.000456608332828,1.0004788695800542,0.779247642,0.737247527,0.837930501,6.033666611,5.760947704,4.882210255
0,2,1.0001085710992534,0.9998620988212552,1.0000722734576906,0.9999217489654928,1.0001550267311037,0.9999917115014332,0.961261868,0.929199457,0.97903502,5.712780952,5.584303856,4.623310566
0,2,0.999530079072197,0.9999753840675843,0.9994513617675612,0.999810821673717,0.9998036455580004,0.9993829151225072,0.768093646,0.731596112,0.832343519,6.008789063,5.654294968,4.817329407
1,0,0.9959400653228972,1.0051110298173913,1.0003502265865123,1.000348112480968,1.000456608332828,1.0004788695800542,0.779247642,0.737247527,0.837930501,6.033666611,5.760947704,4.882210255
1,2,0.8666180416994996,0.9832139312050396,1.000610419494148,0.9162327769479578,1.0197459049186373,0.9364264860613396,0.525301576,0.26828146,0.738196433,6.273979664,5.339056015,4.966526508
1,2,0.9431892978870752,0.9952093431969478,1.0007718515453952,0.9650062424199192,1.0098320847057896,0.973045097277593,0.127044246,0.312332988,0.822957039,5.884320736,5.322867393,4.737425804
1,0,0.996501245372148,1.0882142400537562,1.2044003685911095,0.9997300500449752,1.0004466290727414,0.999840330320365,0.2466399073600769,0.6992217898368835,0.929646909,5.432098388671875,5.898970603942871,4.215368747711182
0,1,0.9992678044257958,0.998980556539306,0.9986536375480024,0.9989848850994196,0.9986685385701406,0.9991252556479296,0.807338119,0.778865576,0.850530505,5.805848122,5.47409153,4.5992136
3,0,0.9945967355684594,0.8077560406910574,1.3048584201541509,0.9516770545307928,1.0286902927256474,0.9403205457231916,0.096926346,0.089281812,0.894952476,6.631551743,5.394794941,5.198484421
1,0,0.9821871878907146,1.1165223483173083,1.229287038618445,0.9995284528530564,0.9996954657428372,1.0005353063879034,0.8022679090499878,0.8138939142227173,0.9153466820716858,5.831517219543457,5.799888610839844,4.551555156707764
1,2,0.8598672654571359,0.98898573042124,1.0025171468360763,0.9169583092061062,1.028005666344548,0.9315769910874976,0.553225696,0.309452087,0.810493171,6.146887779,5.173440933,4.925145626
3,4,0.897897892115568,0.9378028893635592,0.9136740789443027,0.9163554658195422,0.9119662732252356,0.9190529264266448,0.0365671403706073,0.052846812,0.1904416233301162,5.380232334136963,5.336560249328613,4.374285697937012
0,2,0.9667215046457897,1.0024699309809535,0.9939725084824624,0.9841335407824132,0.9991410777880272,0.983169009785811,0.130623564,0.348775297,0.650342047,5.480957985,5.190854073,4.356778622
3,0,0.9923163220400276,0.8658869649550242,1.238949056576253,0.9624472825320576,1.0226944849485502,0.9565159506531205,0.112743556,0.103545152,0.876496017,6.259232521,5.307677269,4.972154617
3,0,0.9858338200031116,0.8325970843299579,1.2892586917968176,0.953531549741766,1.0188468124250345,0.9595729926591304,0.141027212,0.0449703,0.822385252,5.417502403,4.917064667,4.517258167
0,2,0.995212559475224,1.0045570391539829,1.0001668996284987,0.9999619177890812,0.9997026832503164,1.0000699577534973,0.780737877,0.746320188,0.837505281,6.104802608,5.611698151,4.820202351
3,0,0.9923163220400276,0.8658869649550242,1.238949056576253,0.9624472825320576,1.0226944849485502,0.9565159506531205,0.112743556,0.103545152,0.876496017,6.259232521,5.307677269,4.972154617
0,2,0.9667215046457897,1.0024699309809535,0.9939725084824624,0.9841335407824132,0.9991410777880272,0.983169009785811,0.130623564,0.348775297,0.650342047,5.480957985,5.190854073,4.356778622
2,0,0.9737757560055532,0.9938073846042031,1.0022264434106525,0.9794787804112788,1.001652919344231,0.9911627772216024,0.134168804,0.284686148,0.738642752,6.035952091,5.447908878,4.69871521
0,4,0.9747875010996456,0.996718097414449,0.980696003623576,0.9868373479385362,0.9843932830161684,0.9806073333287728,0.241751879453659,0.2626672089099884,0.2919043898582458,5.306796550750732,5.422006130218506,4.416924953460693
1,0,0.9821871878907146,1.1165223483173083,1.229287038618445,0.9995284528530564,0.9996954657428372,1.0005353063879034,0.8022679090499878,0.8138939142227173,0.9153466820716858,5.831517219543457,5.799888610839844,4.551555156707764
