class,V_L1,V_L2,V_L3,V_L12,V_L23,V_L31,A_L1,A_L2,A_L3,VA_L1,VA_L2,VA_L3,W_L1,W_L2,W_L3,Q_L1,Q_L2,Q_L3,PF_L1,PF_L2,PF_L3,THD_L1,THD_L2,THD_L3
3,97.57392883,111.976738,137.8662872,190.2674713,199.9737701,186.5434265,1.964585185,1.861226916,0.16560936,191.6922913,208.4141235,22.83194733,24.83694458,21.95410538,19.8719101,114.2391129,102.6100845,9.966773987,0.129566729,0.105338857,0.870355487,6.3297019,5.5312047,5.090535164
4,92.38965606689452,119.06305694580078,109.48802185058594,182.7675781,183.8673553466797,185.73097229003903,3.2435262203216557,3.695946693,3.647140502929688,299.66827392578125,440.05072021484375,399.3182067871094,24.278688430786133,51.80549621582031,-92.65943909,298.1677551269531,436.4158935546875,387.9502868652344,0.081018545,0.1177261918783187,0.2320441156625747,5.825048923492432,5.475919723510742,4.5583086013793945
0,103.14710998535156,129.0084686279297,119.28980255126952,202.76922607421875,203.09402465820312,200.7651214599609,0.447072297,0.465637594461441,0.5071807503700256,46.11421585083008,60.07119369506836,60.50149154663086,-44.62333679,-55.45440292,-59.32494736,5.8793721199035645,19.256908416748047,2.726532459259033,0.9676698446273804,0.9231446981430054,0.9805534482002258,5.148385524749756,4.958425998687744,4.013562679290772
1,11.517090797424316,207.98910522460935,199.5683135986328,200.1528778076172,203.75149536132807,200.28973388671875,0.33968386054039,0.5408135652542114,0.5784658193588257,3.912169933319092,112.48332977294922,115.44345092773438,0.3410065770149231,-62.79955673,-96.04499817,3.368342876434326,91.70108795166016,-60.62468719,0.0871655866503715,0.5583010315895081,0.8319657444953918,5.587194442749023,5.14131498336792,4.384459972381592
2,92.89849854,128.3136902,114.8049393,193.5732727,202.3539581,185.1437683,2.55964756,2.462962866,0.897611439,237.7874146,316.0318604,103.0502243,40.71522141,-119.7789993,-19.49816132,186.0359039,252.8818665,83.13703918,0.171225294,0.379009247,0.189210281,6.441947937,5.96120882,4.915100574
2,93.01776886,128.5937195,114.793251,193.965271,202.383667,185.3339539,2.566002131,2.459556341,0.901204169,238.6837921,316.2835083,103.4521561,37.70210648,-121.8685455,-20.75555038,186.7022552,251.5836334,83.97870636,0.157958388,0.385314256,0.200629458,6.48219347,6.040549278,4.81149435
4,96.92704773,120.3425293,110.9751129,188.8732605,186.9849548,189.3560791,2.987364054,3.066570282,3.360915422,289.556366,369.0388184,372.9779663,-9.811810493,31.24261856,-72.87718201,241.6366882,318.546936,307.6768494,0.033885665,0.084659435,0.195392728,5.801983833,5.594485283,4.417167187
1,76.31517028808594,168.34103393554688,163.4335174560547,202.16136169433597,202.5653381347656,200.94467163085935,0.4337790608406067,0.4535906910896301,0.4834186732769012,33.10392379760742,76.35792541503906,79.0068130493164,-22.62537003,-59.09109116,-71.88053894,4.496540069580078,39.66276931762695,-14.89455986,0.6834648847579956,0.7738698124885559,0.9098017811775208,5.594311714172363,5.67838716506958,4.481460094451904
1,22.02408409,238.6573334,239.3249054,249.3822784,248.8895111,246.6437988,0.390078783,0.479146808,0.43520847,8.591128349,114.3518982,104.1562271,0.535603702,63.53676605,-20.83161545,6.867588997,87.50167084,98.48435211,0.062343813,0.555624962,0.200003549,6.610251904,6.329928398,5.202363968
4,93.67205810546876,121.6109848022461,110.26158142089844,187.38221740722656,189.5626678466797,184.44769287109372,3.320936918258667,3.329523801803589,3.0426766872406006,311.0790100097656,404.90667724609375,335.4903564453125,19.189876556396484,-9.214412689,-52.26721573,270.04266357421875,366.5167236328125,290.0770874023437,0.06168811,0.0227568801492452,0.1557935029268264,5.642766952514648,5.580471515655518,4.750793933868408
