class,V_L1,V_L2,V_L3,V_L12,V_L23,V_L31,PF_L1,PF_L2,PF_L3,THD_L1,THD_L2,THD_L3
0,1.0,1.0,1.0,1.0,1.0,1.0,0.957400084,0.927909553,0.97649157,5.532030106,5.429721832,4.472723007
0,1.0,1.0,1.0,1.0,1.0,1.0,0.957400084,0.927909553,0.97649157,5.532030106,5.429721832,4.472723007
0,1.0,1.0,1.0,1.0,1.0,1.0,0.957400084,0.927909553,0.97649157,5.532030106,5.429721832,4.472723007
0,1.0,1.0,1.0,1.0,1.0,1.0,0.957400084,0.927909553,0.97649157,5.532030106,5.429721832,4.472723007
0,1.00013510136866,1.0009445561762165,1.0002640895675845,1.000532655912038,1.0009516872966948,1.0000409249723339,0.96224463,0.926808119,0.979860187,5.69451189,5.431785583,4.515370369
0,1.00013510136866,1.0009445561762165,1.0002640895675845,1.000532655912038,1.0009516872966948,1.0000409249723339,0.96224463,0.926808119,0.979860187,5.69451189,5.431785583,4.515370369
0,1.00013510136866,1.0009445561762165,1.0002640895675845,1.000532655912038,1.0009516872966948,1.0000409249723339,0.96224463,0.926808119,0.979860187,5.69451189,5.431785583,4.515370369
0,1.00013510136866,1.0009445561762165,1.0002640895675845,1.000532655912038,1.0009516872966948,1.0000409249723339,0.96224463,0.926808119,0.979860187,5.69451189,5.431785583,4.515370369
0,0.9993575411838819,1.0007217689174113,0.9996774012802362,1.0001444245565492,1.0007747521334482,0.9991615675014585,0.958713531,0.923477232,0.977957845,5.787187576,5.448387146,4.541294098
0,0.9993575411838819,1.0007217689174113,0.9996774012802362,1.0001444245565492,1.0007747521334482,0.9991615675014585,0.958713531,0.923477232,0.977957845,5.787187576,5.448387146,4.541294098
0,0.9993575411838819,1.0007217689174113,0.9996774012802362,1.0001444245565492,1.0007747521334482,0.9991615675014585,0.958713531,0.923477232,0.977957845,5.787187576,5.448387146,4.541294098
0,0.9993575411838819,1.0007217689174113,0.9996774012802362,1.0001444245565492,1.0007747521334482,0.9991615675014585,0.958713531,0.923477232,0.977957845,5.787187576,5.448387146,4.541294098
0,0.9997160105761302,1.001051965239394,1.0000408212568264,1.000601580692262,1.0009833420456096,0.9995064645353907,0.959163487,0.925341249,0.978015304,5.818037987,5.517307281,4.571710587
0,0.9997160105761302,1.001051965239394,1.0000408212568264,1.000601580692262,1.0009833420456096,0.9995064645353907,0.959163487,0.925341249,0.978015304,5.818037987,5.517307281,4.571710587
0,0.9997160105761302,1.001051965239394,1.0000408212568264,1.000601580692262,1.0009833420456096,0.9995064645353907,0.959163487,0.925341249,0.978015304,5.818037987,5.517307281,4.571710587
0,0.9997160105761302,1.001051965239394,1.0000408212568264,1.000601580692262,1.0009833420456096,0.9995064645353907,0.959163487,0.925341249,0.978015304,5.818037987,5.517307281,4.571710587
0,0.9999620552852329,1.00106707174607,1.0000203144528972,1.0005838963053844,1.0010320708711713,0.9996840094806587,0.959229171,0.925062895,0.976755321,5.796014786,5.547597885,4.547653675
0,0.9999620552852329,1.00106707174607,1.0000203144528972,1.0005838963053844,1.0010320708711713,0.9996840094806587,0.959229171,0.925062895,0.976755321,5.796014786,5.547597885,4.547653675
0,0.9999620552852329,1.00106707174607,1.0000203144528972,1.0005838963053844,1.0010320708711713,0.9996840094806587,0.959229171,0.925062895,0.976755321,5.796014786,5.547597885,4.547653675
0,0.9999620552852329,1.00106707174607,1.0000203144528972,1.0005838963053844,1.0010320708711713,0.9996840094806587,0.959229171,0.925062895,0.976755321,5.796014786,5.547597885,4.547653675
0,0.9993894089937625,0.9995954622660694,0.999285912332281,0.9995148054063361,0.9997952630808635,0.9991027663943255,0.957727015,0.923681915,0.977404356,5.656944752,5.470860481,4.513623238
0,0.9993894089937625,0.9995954622660694,0.999285912332281,0.9995148054063361,0.9997952630808635,0.9991027663943255,0.957727015,0.923681915,0.977404356,5.656944752,5.470860481,4.513623238
0,0.9993894089937625,0.9995954622660694,0.999285912332281,0.9995148054063361,0.9997952630808635,0.9991027663943255,0.957727015,0.923681915,0.977404356,5.656944752,5.470860481,4.513623238
0,0.9993894089937625,0.9995954622660694,0.999285912332281,0.9995148054063361,0.9997952630808635,0.9991027663943255,0.957727015,0.923681915,0.977404356,5.656944752,5.470860481,4.513623238
0,0.9989789886700654,1.000180442424235,0.9993293609866126,0.9998069799072933,1.0000059686238647,0.9988985209107196,0.961190462,0.930069506,0.978454471,5.662479401,5.424530983,4.522686005
0,0.9989935883952005,1.0003362626223569,0.9995419920333025,0.999879305854992,1.0002591323477783,0.99898957563404,0.963815808,0.930990934,0.979673028,5.844621181,5.549370289,4.635281563
0,0.9989935883952005,1.0003362626223569,0.9995419920333025,0.999879305854992,1.0002591323477783,0.99898957563404,0.963815808,0.930990934,0.979673028,5.844621181,5.549370289,4.635281563
0,0.9991174995553737,1.0004931531148002,0.9993647359373574,0.999867591713162,1.0003707176399932,0.9989908688097238,0.95853138,0.923315227,0.978378296,5.83078146,5.550168991,4.626193047
0,0.9991174995553737,1.0004931531148002,0.9993647359373574,0.999867591713162,1.0003707176399932,0.9989908688097238,0.95853138,0.923315227,0.978378296,5.83078146,5.550168991,4.626193047
