t+,class,V_L1,V_L2,V_L3,V_L12,V_L23,V_L31,A_L1,A_L2,A_L3,VA_L1,VA_L2,VA_L3,W_L1,W_L2,W_L3,Q_L1,Q_L2,Q_L3,PF_L1,PF_L2,PF_L3,THD_L1,THD_L2,THD_L3
0.000,0,103.14312744140625,129.006103515625,119.34952545166016,202.77630615234375,203.11764526367188,200.82545471191406,0.44286563992500305,0.46488726139068604,0.5087452530860901,45.67854690551758,59.97329330444336,60.718505859375,-44.19448471069336,-55.144283294677734,-59.56941223144531,5.838771820068359,19.932363510131836,2.762474775314331,0.9675107598304749,0.9194806814193726,0.9810750484466553,5.223845481872559,5.076613903045654,4.181905269622803,nan
0.050,0,103.14312744140625,129.006103515625,119.34952545166016,202.77630615234375,203.11764526367188,200.82545471191406,0.44286563992500305,0.46488726139068604,0.5087452530860901,45.67854690551758,59.97329330444336,60.718505859375,-44.19448471069336,-55.144283294677734,-59.56941223144531,5.838771820068359,19.932363510131836,2.762474775314331,0.9675107598304749,0.9194806814193726,0.9810750484466553,5.223845481872559,5.076613903045654,4.181905269622803,nan
0.100,0,103.14312744140625,129.006103515625,119.34952545166016,202.77630615234375,203.11764526367188,200.82545471191406,0.44286563992500305,0.46488726139068604,0.5087452530860901,45.67854690551758,59.97329330444336,60.718505859375,-44.19448471069336,-55.144283294677734,-59.56941223144531,5.838771820068359,19.932363510131836,2.762474775314331,0.9675107598304749,0.9194806814193726,0.9810750484466553,5.223845481872559,5.076613903045654,4.181905269622803,nan
0.150,0,103.16470336914062,128.90773010253906,119.25270080566406,202.66371154785156,202.98374938964844,200.763916015625,0.4417843818664551,0.4604928195476532,0.5006237030029297,45.57655334472656,59.361083984375,59.70072937011719,-44.07057571411133,-54.84262466430664,-58.55659866333008,5.860506057739258,18.99230194091797,2.617851495742798,0.9669572114944458,0.9238817691802979,0.9808355569839478,5.136756420135498,5.084396839141846,4.347496032714844,nan
0.200,0,103.16470336914062,128.90773010253906,119.25270080566406,202.66371154785156,202.98374938964844,200.763916015625,0.4417843818664551,0.4604928195476532,0.5006237030029297,45.57655334472656,59.361083984375,59.70072937011719,-44.07057571411133,-54.84262466430664,-58.55659866333008,5.860506057739258,18.99230194091797,2.617851495742798,0.9669572114944458,0.9238817691802979,0.9808355569839478,5.136756420135498,5.084396839141846,4.347496032714844,nan
0.250,0,103.16470336914062,128.90773010253906,119.25270080566406,202.66371154785156,202.98374938964844,200.763916015625,0.4417843818664551,0.4604928195476532,0.5006237030029297,45.57655334472656,59.361083984375,59.70072937011719,-44.07057571411133,-54.84262466430664,-58.55659866333008,5.860506057739258,18.99230194091797,2.617851495742798,0.9669572114944458,0.9238817691802979,0.9808355569839478,5.136756420135498,5.084396839141846,4.347496032714844,nan
0.300,0,103.16470336914062,128.90773010253906,119.25270080566406,202.66371154785156,202.98374938964844,200.763916015625,0.4417843818664551,0.4604928195476532,0.5006237030029297,45.57655334472656,59.361083984375,59.70072937011719,-44.07057571411133,-54.84262466430664,-58.55659866333008,5.860506057739258,18.99230194091797,2.617851495742798,0.9669572114944458,0.9238817691802979,0.9808355569839478,5.136756420135498,5.084396839141846,4.347496032714844,nan
0.350,0,103.06747436523438,128.99505615234375,119.23504638671875,202.71591186523438,202.99270629882812,200.65310668945312,0.44509753584861755,0.4668731689453125,0.5044893026351929,45.87508010864258,60.22433090209961,60.15280532836914,-44.30082321166992,-55.38213348388672,-58.9391975402832,6.693199157714844,19.942747116088867,3.3225317001342773,0.9656838178634644,0.919597327709198,0.9798246026039124,5.13922119140625,5.111614227294922,4.1162309646606445,nan
0.400,0,103.06747436523438,128.99505615234375,119.23504638671875,202.71591186523438,202.99270629882812,200.65310668945312,0.44509753584861755,0.4668731689453125,0.5044893026351929,45.87508010864258,60.22433090209961,60.15280532836914,-44.30082321166992,-55.38213348388672,-58.9391975402832,6.693199157714844,19.942747116088867,3.3225317001342773,0.9656838178634644,0.919597327709198,0.9798246026039124,5.13922119140625,5.111614227294922,4.1162309646606445,nan
0.450,0,103.06747436523438,128.99505615234375,119.23504638671875,202.71591186523438,202.99270629882812,200.65310668945312,0.44509753584861755,0.4668731689453125,0.5044893026351929,45.87508010864258,60.22433090209961,60.15280532836914,-44.30082321166992,-55.38213348388672,-58.9391975402832,6.693199157714844,19.942747116088867,3.3225317001342773,0.9656838178634644,0.919597327709198,0.9798246026039124,5.13922119140625,5.111614227294922,4.1162309646606445,nan
0.500,0,103.18746948242188,128.92666625976562,119.30646514892578,202.73233032226562,203.0533447265625,200.8019256591797,0.4453505873680115,0.4631207585334778,0.5053128600120544,45.9546012878418,59.708614349365234,60.28709030151367,-44.361839294433594,-55.01820373535156,-58.97777557373047,5.920531749725342,19.252946853637695,2.889396905899048,0.9653405547142029,0.9214450120925903,0.9782820343971252,5.377055644989014,5.167829513549805,4.429162502288818,nan
0.550,0,103.18746948242188,128.92666625976562,119.30646514892578,202.73233032226562,203.0533447265625,200.8019256591797,0.4453505873680115,0.4631207585334778,0.5053128600120544,45.9546012878418,59.708614349365234,60.28709030151367,-44.361839294433594,-55.01820373535156,-58.97777557373047,5.920531749725342,19.252946853637695,2.889396905899048,0.9653405547142029,0.9214450120925903,0.9782820343971252,5.377055644989014,5.167829513549805,4.429162502288818,nan
0.600,0,103.18746948242188,128.92666625976562,119.30646514892578,202.73233032226562,203.0533447265625,200.8019256591797,0.4453505873680115,0.4631207585334778,0.5053128600120544,45.9546012878418,59.708614349365234,60.28709030151367,-44.361839294433594,-55.01820373535156,-58.97777557373047,5.920531749725342,19.252946853637695,2.889396905899048,0.9653405547142029,0.9214450120925903,0.9782820343971252,5.377055644989014,5.167829513549805,4.429162502288818,nan
0.650,0,103.1126708984375,129.00355529785156,119.25757598876953,202.733642578125,203.0282440185547,200.72508239746094,0.44382715225219727,0.46238768100738525,0.5027491450309753,45.76420211791992,59.649654388427734,59.95664596557617,-44.286964416503906,-54.9699821472168,-58.76464080810547,6.010812759399414,19.214580535888672,2.9107563495635986,0.9677206873893738,0.9215473532676697,0.9801188707351685,5.240389347076416,5.243191719055176,4.387824058532715,nan
0.700,0,103.1126708984375,129.00355529785156,119.25757598876953,202.733642578125,203.0282440185547,200.72508239746094,0.44382715225219727,0.46238768100738525,0.5027491450309753,45.76420211791992,59.649654388427734,59.95664596557617,-44.286964416503906,-54.9699821472168,-58.76464080810547,6.010812759399414,19.214580535888672,2.9107563495635986,0.9677206873893738,0.9215473532676697,0.9801188707351685,5.240389347076416,5.243191719055176,4.387824058532715,nan
0.750,0,103.1126708984375,129.00355529785156,119.25757598876953,202.733642578125,203.0282440185547,200.72508239746094,0.44382715225219727,0.46238768100738525,0.5027491450309753,45.76420211791992,59.649654388427734,59.95664596557617,-44.286964416503906,-54.9699821472168,-58.76464080810547,6.010812759399414,19.214580535888672,2.9107563495635986,0.9677206873893738,0.9215473532676697,0.9801188707351685,5.240389347076416,5.243191719055176,4.387824058532715,nan
0.800,0,103.1126708984375,129.00355529785156,119.25757598876953,202.733642578125,203.0282440185547,200.72508239746094,0.44382715225219727,0.46238768100738525,0.5027491450309753,45.76420211791992,59.649654388427734,59.95664596557617,-44.286964416503906,-54.9699821472168,-58.76464080810547,6.010812759399414,19.214580535888672,2.9107563495635986,0.9677206873893738,0.9215473532676697,0.9801188707351685,5.240389347076416,5.243191719055176,4.387824058532715,nan
0.850,0,103.17555236816406,128.99139404296875,119.3590316772461,202.79225158691406,203.10205078125,200.8685302734375,0.44577929377555847,0.4675234258174896,0.5094535946846008,45.993526458740234,60.30649948120117,60.80788803100586,-44.461177825927734,-55.28703689575195,-59.71076965332031,6.843211650848389,20.856224060058594,3.877302646636963,0.9666833877563477,0.9167674779891968,0.9819576144218445,5.310398578643799,5.14310884475708,4.313857078552246,nan
0.900,0,103.17555236816406,128.99139404296875,119.3590316772461,202.79225158691406,203.10205078125,200.8685302734375,0.44577929377555847,0.4675234258174896,0.5094535946846008,45.993526458740234,60.30649948120117,60.80788803100586,-44.461177825927734,-55.28703689575195,-59.71076965332031,6.843211650848389,20.856224060058594,3.877302646636963,0.9666833877563477,0.9167674779891968,0.9819576144218445,5.310398578643799,5.14310884475708,4.313857078552246,nan
0.950,0,103.17555236816406,128.99139404296875,119.3590316772461,202.79225158691406,203.10205078125,200.8685302734375,0.44577929377555847,0.4675234258174896,0.5094535946846008,45.993526458740234,60.30649948120117,60.80788803100586,-44.461177825927734,-55.28703689575195,-59.71076965332031,6.843211650848389,20.856224060058594,3.877302646636963,0.9666833877563477,0.9167674779891968,0.9819576144218445,5.310398578643799,5.14310884475708,4.313857078552246,nan
1.000,0,103.17555236816406,128.99139404296875,119.3590316772461,202.79225158691406,203.10205078125,200.8685302734375,0.44577929377555847,0.4675234258174896,0.5094535946846008,45.993526458740234,60.30649948120117,60.80788803100586,-44.461177825927734,-55.28703689575195,-59.71076965332031,6.843211650848389,20.856224060058594,3.877302646636963,0.9666833877563477,0.9167674779891968,0.9819576144218445,5.310398578643799,5.14310884475708,4.313857078552246,nan
